ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,5,Wed,4,52.50882799,13.55628531,afternoon,14,daylight,0,dry,0,5,3,1,1,0,0,0,0,2,seriously_injured
2018,11,Fri,6,52.43898116,13.38751112,morning,8,daylight,0,dry,0,5,3,0,1,0,0,0,1,3,slightly_injured
2018,12,Tue,3,52.41925252,13.15736973,morning,9,daylight,0,wet,1,0,3,0,1,0,1,0,0,3,slightly_injured
2018,9,Thu,5,52.44016438,13.38726562,afternoon,14,daylight,0,dry,0,2,6,0,1,0,1,0,0,3,slightly_injured
2018,8,Fri,6,52.49407904,13.28861273,morning,7,daylight,0,dry,0,2,6,0,1,0,0,0,1,3,slightly_injured
2018,6,Fri,6,52.42986014,13.37594916,morning,11,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,7,Wed,4,52.51502475,13.4534913,evening,22,dark,2,dry,0,0,1,0,0,0,1,0,0,3,slightly_injured
2018,5,Wed,4,52.55807966,13.36525867,morning,7,daylight,0,dry,0,5,3,0,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.62253125,13.43245097,evening,18,daylight,0,dry,0,0,3,0,1,0,0,0,0,3,slightly_injured
2018,11,Tue,3,52.50259525,13.44729412,afternoon,14,daylight,0,dry,0,6,7,0,0,1,0,0,1,3,slightly_injured
2018,6,Sun,1,52.61537872,13.44230639,morning,11,daylight,0,wet,1,9,1,0,1,0,0,0,0,3,slightly_injured
2018,12,Thu,5,52.48661056,13.30214736,evening,23,dark,2,wet,1,8,1,0,1,0,0,0,0,2,seriously_injured
2018,10,Sat,7,52.60122543,13.33058211,afternoon,16,daylight,0,dry,0,6,7,0,1,1,0,0,0,3,slightly_injured
2018,8,Thu,5,52.54678012,13.44717465,afternoon,17,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,4,Wed,4,52.49088684,13.36069776,evening,21,dark,2,dry,0,2,6,1,1,0,0,0,0,3,slightly_injured
2018,3,Sun,1,52.41364202,13.36178399,afternoon,17,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,5,Thu,5,52.51432187,13.4679036,afternoon,14,daylight,0,dry,0,2,6,0,1,0,1,0,0,3,slightly_injured
2018,10,Thu,5,52.5622443,13.36447875,morning,6,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.5157643,13.45378434,evening,20,dark,2,dry,0,5,2,0,1,0,1,0,0,3,slightly_injured
2018,11,Tue,3,52.46733793,13.39456752,morning,6,dusk,1,dry,0,3,6,0,0,0,0,1,1,3,slightly_injured
2018,9,Sun,1,52.55797126,13.36550149,morning,9,daylight,0,dry,0,5,3,0,1,0,0,0,0,3,slightly_injured
2018,8,Fri,6,52.44208694,13.38654429,afternoon,17,daylight,0,dry,0,5,3,1,1,0,0,0,0,3,slightly_injured
2018,6,Mon,2,52.56162367,13.36458779,afternoon,12,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,7,Mon,2,52.50502846,13.58616073,afternoon,13,daylight,0,dry,0,2,6,0,1,0,0,0,0,2,seriously_injured
2018,6,Tue,3,52.4382703,13.27147604,morning,10,daylight,0,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,8,Thu,5,52.50498403,13.5893595,morning,10,daylight,0,dry,0,0,1,0,0,0,1,0,0,3,slightly_injured
2018,5,Thu,5,52.51660582,13.44679225,evening,18,daylight,0,dry,0,6,4,1,0,1,0,0,0,3,slightly_injured
2018,4,Thu,5,52.46217858,13.43240248,morning,6,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,12,Tue,3,52.56054059,13.36501121,morning,8,daylight,0,wet,1,5,2,0,1,0,0,0,0,3,slightly_injured
2018,9,Sat,7,52.46998778,13.4898835,afternoon,12,daylight,0,dry,0,3,6,0,1,0,0,0,0,3,slightly_injured
2018,9,Sun,1,52.52007606,13.40514725,night,4,dusk,1,dry,0,9,1,0,1,0,0,0,0,2,seriously_injured
2018,7,Fri,6,52.50574015,13.36802711,morning,9,daylight,0,dry,0,0,1,0,0,0,1,0,0,3,slightly_injured
2018,7,Sat,7,52.5181094,13.45341896,afternoon,15,daylight,0,dry,0,9,1,1,0,0,0,0,0,3,slightly_injured
2018,3,Wed,4,52.54104049,13.41196655,morning,8,daylight,0,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,5,Fri,6,52.50502827,13.44859924,evening,18,daylight,0,dry,0,0,6,1,0,1,0,0,0,3,slightly_injured
2018,10,Thu,5,52.41364489,13.36178646,afternoon,13,daylight,0,dry,0,5,3,1,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.5157643,13.45378434,evening,20,dark,2,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,11,Fri,6,52.46504192,13.40120994,afternoon,12,daylight,0,wet,1,3,6,0,1,0,0,1,0,2,seriously_injured
2018,9,Mon,2,52.44396831,13.38601313,afternoon,13,daylight,0,dry,0,5,2,0,1,0,1,0,0,3,slightly_injured
2018,8,Sat,7,52.41885022,13.15269333,evening,18,daylight,0,dry,0,2,6,0,1,0,1,0,0,3,slightly_injured
2018,6,Tue,3,52.5678022,13.40471687,evening,22,dark,2,dry,0,9,1,0,1,0,0,0,0,3,slightly_injured
2018,10,Tue,3,52.51865143,13.41151669,afternoon,16,daylight,0,dry,0,6,2,0,1,1,0,0,0,3,slightly_injured
2018,6,Thu,5,52.46240091,13.45492201,afternoon,13,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,8,Fri,6,52.49085826,13.45895361,afternoon,15,daylight,0,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,4,Sat,7,52.46191667,13.40709308,morning,10,daylight,0,dry,0,0,7,0,1,0,0,0,0,3,slightly_injured
2018,4,Sat,7,52.51248961,13.48752583,evening,19,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,6,Fri,6,52.62002078,13.43630979,afternoon,12,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,12,Fri,6,52.53927808,13.42428982,evening,18,dark,2,wet,1,5,7,1,1,0,0,0,0,3,slightly_injured
2018,9,Mon,2,52.52023483,13.42273301,afternoon,17,dusk,1,wet,1,5,3,1,0,0,0,0,0,3,slightly_injured
2018,9,Tue,3,52.50916562,13.37346464,evening,18,daylight,0,dry,0,3,6,0,1,0,1,0,0,3,slightly_injured
2018,6,Tue,3,52.50896847,13.26581496,afternoon,15,daylight,0,dry,0,1,5,1,1,0,0,0,0,3,slightly_injured
2018,7,Sat,7,52.50175346,13.28066465,evening,23,dark,2,dry,0,3,7,0,1,0,1,0,0,2,seriously_injured
2018,5,Sun,1,52.46860645,13.3919909,afternoon,12,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.49329165,13.38780284,morning,8,daylight,0,dry,0,6,6,1,0,1,0,0,0,3,slightly_injured
2018,11,Sat,7,52.5051185,13.44865466,evening,19,dark,2,dry,0,6,7,1,0,1,0,0,0,3,slightly_injured
2018,10,Wed,4,52.49240641,13.29351933,afternoon,13,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,8,Mon,2,52.4700919,13.38551442,afternoon,16,daylight,0,dry,0,6,2,0,1,1,0,0,0,3,slightly_injured
2018,4,Sun,1,52.50453704,13.28145445,afternoon,17,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,4,Mon,2,52.46393491,13.40293075,night,1,dark,2,wet,1,9,1,0,1,0,0,0,0,3,slightly_injured
2018,5,Mon,2,52.51242968,13.48810864,morning,10,daylight,0,dry,0,2,6,0,1,0,0,0,0,2,seriously_injured
2018,10,Wed,4,52.43193989,13.39110836,evening,21,dark,2,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.56209019,13.36472555,afternoon,17,dusk,1,dry,0,5,3,1,1,0,0,0,0,3,slightly_injured
2018,12,Sun,1,52.54113816,13.41197365,night,5,dark,2,wet,1,6,4,1,0,1,0,0,0,3,slightly_injured
2018,9,Wed,4,52.47303791,13.36531297,evening,18,daylight,0,dry,0,2,1,0,1,0,0,0,0,2,seriously_injured
2018,8,Thu,5,52.52752742,13.42308629,evening,20,dusk,1,wet,1,3,6,1,1,0,0,0,0,3,slightly_injured
2018,6,Thu,5,52.51418553,13.19129987,afternoon,12,daylight,0,dry,0,6,4,0,1,1,0,0,0,2,seriously_injured
2018,7,Tue,3,52.54119318,13.36884623,afternoon,16,daylight,0,dry,0,0,7,1,0,0,0,0,1,3,slightly_injured
2018,3,Fri,6,52.46818781,13.38571487,afternoon,16,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,11,Sat,7,52.52168876,13.28167519,afternoon,17,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,6,Thu,5,52.55860859,13.41356905,afternoon,16,daylight,0,dry,0,0,2,1,1,0,0,0,0,2,seriously_injured
2018,5,Tue,3,52.55756529,13.55429795,afternoon,12,daylight,0,dry,0,2,6,0,1,0,1,0,0,2,seriously_injured
2018,12,Sun,1,52.57180971,13.36022075,evening,20,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,10,Thu,5,52.51215835,13.31386613,afternoon,14,daylight,0,dry,0,3,6,0,1,0,1,0,0,2,seriously_injured
2018,3,Fri,6,52.57101301,13.39822143,evening,19,dark,2,dry,0,0,1,1,0,0,0,0,0,2,seriously_injured
2018,7,Mon,2,52.49799442,13.38914389,afternoon,15,daylight,0,dry,0,5,3,0,1,0,0,0,0,3,slightly_injured
2018,4,Tue,3,52.48743993,13.30065802,morning,10,daylight,0,dry,0,3,6,0,1,0,0,0,1,3,slightly_injured
2018,7,Sat,7,52.50927745,13.27108131,afternoon,15,daylight,0,dry,0,2,2,0,1,0,0,0,0,3,slightly_injured
2018,3,Wed,4,52.4207945,13.17081467,afternoon,13,daylight,0,dry,0,3,3,0,1,0,0,0,1,3,slightly_injured
2018,5,Tue,3,52.55930623,13.46673423,afternoon,17,daylight,0,dry,0,0,1,0,0,0,1,0,0,3,slightly_injured
2018,10,Mon,2,52.49389638,13.14662831,afternoon,13,daylight,0,dry,0,4,6,1,0,0,0,0,0,3,slightly_injured
2018,3,Thu,5,52.51093714,13.28601312,morning,8,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
